Common Name,Wingspan (cm),Release Date
Sungrebe,141.5,
Ouzel,141.6,
Pratincole,141.6,
Roadrunner,141.7,
Turnstone,142,
Hoopoe,142.3,
Grandala,142.4,
Dowitcher,143,
Racquet-tail,143.8,
Fieldfare,144.4,
Spurfowl,144.6,
Hornbill,146.1,
Bristlehead,146.5,
Apostlebird,146.6,
Waterhen,147,
Hawk-Cuckoo,147.2,
Kite,147.7,
Tui,147.8,
Roller,148.6,
Parotia,149.1,
Wood-Partridge,149.2,
Pygmy-Goose,149.6,
Paradigalla,151.1,
Kestrel,151.8,
Rockfowl,152,
Sooty-Woodpecker,152.3,
Yellowlegs,152.6,
Chukar,153.8,
Guillemot,154,
Wood-Rail,154.2,
Whip-poor-will,154.4,
Coucal,154.6,
Redshank,156.9,
Tattler,157.8,
Kokako,158,
Lory,158.4,
Killdeer,158.8,
Boobook,159,
Golden-Plover,159,
Manucode,159.1,
Sandgrouse,159.2,
Amazon,160,
Blue-Pigeon,160.4,
Bufflehead,160.8,
Turaco,160.8,
Peacock-Pheasant,161,
Bronzewing,162.5,
Puffin,163.6,
Ruff,163.7,
Knot,164.4,
Shearwater,165,
Piapiac,165.1,
Tern,165.1,
Blue-Magpie,165.8,
Megapode,167,
Forest-Falcon,167.1,
Weka,167.2,
Cockatiel,167.3,
Mountain-Toucan,167.3,
Grouse,167.5,
Coot,168.8,
Ringneck,169.2,
Turtle-Dove,170.7,
Greenshank,171.2,
Lapwing,171.4,
Magpie-lark,172.1,
Ptarmigan,173,
Surfbird,173,
Macaw,173.2,
Ground-Pigeon,173.5,
Prion,173.8,
Curlew,175,
Chachalaca,175.7,
Noddy,175.8,
Scaup,177,
Pheasant,177.2,
Cock-of-the-rock,177.8,
Fruitcrow,178.2,
Quetzal,178.4,
Hawk,181.6,
Oropendola,182,
Needletail,183.2,
King-Parrot,183.8,
Potoo,184.2,
Nutcracker,184.3,
Nativehen,185.5,
Watercock,185.9,
Whistling-Duck,186,
Dollarbird,186.2,
Finfoot,186.2,
Merganser,186.6,
Goshawk,187,
Pochard,187.2,
Smew,187.3,
Garganey,188.2,
Cormorant,188.8,
Pond-Heron,190.2,
Bay-Owl,190.8,
Sparrowhawk,190.8,
Toucan,191.8,
Wood-Pigeon,192.2,
Thick-knee,195.8,
Murre,196.3,
Stilt,196.4,
Paradise-crow,196.5,
Imperial-Pigeon,196.6,
Morepork,198.3,
Merlin,199.6,
Florican,200,
Mountain-Pigeon,200.2,
Crow,201.2,
Junglefowl,202.2,
Petrel,203.2,
Pintail,203.2,
Willet,203.5,
Eider,203.6,
Prairie-Chicken,204.8,
Eared-Nightjar,205.2,
Monal-Partridge,206.2,
Chuck-will's-widow,207.7,
Crab-Plover,208.5,
Goldeneye,208.7,
Razorbill,209.3,
Shoveler,209.8,
Godwit,210.1,
Guineafowl,210.4,
Corella,210.9,
Capuchinbird,211,
Masked-Owl,213,
Hardhead,213.6,
Cockatoo,214.5,
Tragopan,214.5,
Crested-Tinamou,215.3,
Sunbittern,216.5,
Cassowary,216.8,
Buzzard,217.4,
Hobby,217.4,
Avocet,217.9,
Shag,218.5,
Redhead,218.6,
Gull,218.9,
Scoter,220,
Shining-Parrot,220,
Fireback,220.8,
Canvasback,223.5,
Plantain-eater,224,
Swamphen,225,
Sheathbill,227,
Egret,228,
Eclectus,228.2,
Baza,230.6,
Ibisbill,231.2,
Takahe,232.5,
Umbrellabird,233,
Whimbrel,233,
Ibis,237,
Bustard,239.3,
Guan,239.7,
Limpkin,241.2,
Palm-Crow,244.2,
Steamer-Duck,244.8,
Chough,244.9,
Wigeon,245,
Oystercatcher,246.8,
Cuckoo-roller,248.4,
Gadwall,251.3,
Currawong,255.1,
Galah,256.2,
Wood-Owl,256.5,
Brushturkey,257.2,
Snowcock,257.2,
Reef-Heron,261,
Lyrebird,261.9,
Mallard,263.4,
Kagu,264.3,
Cuckoo-Hawk,264.6,
Tiger-Heron,266.2,
Tropicbird,269.4,
Shelduck,270,
Trumpeter,270.5,
Bittern,270.8,
Loon,275.4,
Curassow,280.5,
Eared-Pheasant,282,
Kaka,284.3,
Pied-Hornbill,284.9,
Sage-Grouse,285,
Monal,286.2,
Maleo,290.8,
Hamerkop,293.2,
Fishing-Owl,294.8,
Peacock,297.2,
Serpent-Eagle,297.2,
Goose,298,
Eagle-Owl,299.4,
Grass-Owl,299.5,
Kittiwake,299.8,
Seriema,300.3,
Jaeger,301.7,
Chanting-Goshawk,305.8,
Oilbird,308.3,
Kea,308.5,
Malleefowl,310.2,
Caracara,310.7,
Rook,312.3,
Hawk-Eagle,312.7,
Fulmar,315,
Flamingo,318.4,
Brant,319.6,
Hoatzin,322,
Raven,330.8,
Piping-Guan,331,
Skimmer,332,
Fish-Owl,335.2,
Argus,335.6,
Eagle,337,
Honey-buzzard,337,
Anhinga,339.6,
Capercaillie,341.2,
Darter,342.2,
Harrier,344.5,
Black-Cockatoo,346.6,
Spoonbill,349,
Crowned-Pigeon,350.5,
Snake-Eagle,362.2,
Turkey,362.5,
Houbara,364.3,
Booby,366.8,
Gyrfalcon,368,
Skua,379.6,
Stork,387.5,
Openbill,393.8,
Harrier-Hawk,397.4,
Vulture,410.1,
Swan,411.8,
Bean-Goose,432.2,
Peafowl,445.2,
Gannet,449.8,
Albatross,467.8,
Osprey,468.4,
Crane,477.8,
Screamer,492.8,
Giant-Petrel,493.6,
Pelican,494.6,
Buzzard-Eagle,496.2,
Bateleur,500.4,
Ostrich,510.5,
Frigatebird,513,
Ground-Hornbill,534.5,
Crowned-Crane,543.4,
Fish-Eagle,566.6,
Brolga,572.5,
Sea-Eagle,598.5,
Rhea,604.5,
Secretarybird,615.5,
Adjutant,624.6,
Griffon,627.8,
Jabiru,640.8,
Shoebill,642.2,
Condor,788,
